嗚呼,ああ,aa,Ah!;Oh!;Alas!
選択,せんたく,sentaku,selection;choice
先端,せんたん,sentan,pointed end;tip;fine point;spearhead;cusp;vanguard;advanced;leading edge
先代,せんだい,sendai,family predecessor;previous age;previous generation
先だって,せんだって,sendate,recently;the other day
先着,せんちゃく,senchaku,first arrival
先天的,せんてんてき,sententeki,a priori;inborn;innate;inherent;congenital;hereditary
宣伝,せんでん,senden,propaganda;publicity
戦闘,せんとう,sentou,battle;fight;combat
先頭,せんとう,sentou,head;lead;vanguard;first
潜入,せんにゅう,sennyuu,infiltration;sneaking in
先輩,せんぱい,senpai,senior (at work or school);superior;elder;older graduate;progenitor;old-timer
船舶,せんぱく,senpaku,ship
扇風機,せんぷうき,senpuuki,electric fan
洗面,せんめん,senmen,wash up (one's face);have a wash
専門,せんもん,senmon,speciality;subject of study;expert
専用,せんよう,senyou,exclusive use;personal use
占領,せんりょう,senryou,occupation;capture;possession;have a room to oneself
戦力,せんりょく,senryoku,war potential
線路,せんろ,senro,line;track;roadbed
税関,ぜいかん,zeikan,customs house
税金,ぜいきん,zeikin,tax;duty
贅沢,ぜいたく,zeitaku,luxury;extravagance
税務署,ぜいむしょ,zeimusho,tax office
是正,ぜせい,zesei,correction;revision
絶対,ぜったい,zettai,absolute;unconditional;absoluteness
絶版,ぜっぱん,zeppan,out of print
絶望,ぜつぼう,zetsubou,despair;hopelessness
絶滅,ぜつめつ,zetsumetsu,destruction;extinction
是非,ぜひ,zehi,certainly;without fail
是非とも,ぜひとも,zehitomo,"by all means (with sense of not taking ""no"" for an answer)"
膳,ぜん,zen,(small) table;tray;meal
禅,ぜん,zen,Zen (Buddhism)
善,ぜん,zen,good;goodness;right;virtue
全,ぜん,zen,all;whole;entire;complete;overall;pan
全員,ぜんいん,zenin,all members (unanimity);all hands;the whole crew
全快,ぜんかい,zenkai,complete recovery of health
全国,ぜんこく,zenkoku,country-wide;nation-wide;whole country;national
前後,ぜんご,zengo,around;throughout;front and back;before and behind;before and after;about that (time);longitudinal;context;nearly;approximately
前者,ぜんしゃ,zensha,the former
全集,ぜんしゅう,zenshuu,complete works
全身,ぜんしん,zenshin,the whole body;full-length (portrait)
前進,ぜんしん,zenshin,advance;drive;progress
全盛,ぜんせい,zensei,height of prosperity
全然,ぜんぜん,zenzen,wholly;entirely;completely;not at all (neg. verb)
全体,ぜんたい,zentai,whole;entirety;whatever (is the matter)
前提,ぜんてい,zentei,preamble;premise;reason;prerequisite
前途,ぜんと,zento,future prospects;outlook;the journey ahead
全般,ぜんぱん,zenpan,(the) whole;universal;wholly;general
全部,ぜんぶ,zenbu,all;entire;whole;altogether
全滅,ぜんめつ,zenmetsu,annihilation
善良,ぜんりょう,zenryou,goodness;excellence;virtue
全力,ぜんりょく,zenryoku,all one's power;whole energy
前例,ぜんれい,zenrei,precedent
僧,そう,sou,monk;priest
沿う,そう,sou,to run along;to follow
添う,そう,sou,to accompany;to become married;to comply with
,そう,sou,so;really;seeming
総,そう,sou,whole;all;general;gross
,そう,sou,so;really;seeming
相違,そうい,soui,difference;discrepancy;variation
相応,そうおう,souou,suitability;fitness
騒音,そうおん,souon,noise
総会,そうかい,soukai,general meeting
創刊,そうかん,soukan,launching (e.g. newspaper);first issue
送金,そうきん,soukin,remittance;sending money
倉庫,そうこ,souko,storehouse;warehouse;godown
走行,そうこう,soukou,running a wheeled vehicle (e.g. car);traveling
相互,そうご,sougo,mutual;reciprocal
総合,そうごう,sougou,synthesis;coordination;putting together;integration;composite
捜査,そうさ,sousa,search (esp. in criminal investigations);investigation
操作,そうさ,sousa,operation;management;processing
捜索,そうさく,sousaku,search (esp. for someone or something missing);investigation
創作,そうさく,sousaku,production;literary creation;work
葬式,そうしき,soushiki,funeral
然うして,そうして,soushite,and;like that
装飾,そうしょく,soushoku,ornament
掃除,そうじ,souji,cleaning;sweeping
操縦,そうじゅう,soujyuu,management;handling;control;manipulation
創造,そうぞう,souzou,creation
想像,そうぞう,souzou,imagination;guess
騒々しい,そうぞうしい,souzoushii,noisy;boisterous
相続,そうぞく,souzoku,succession;inheritance
壮大,そうだい,soudai,magnificent;grand;majestic;splendid
相談,そうだん,soudan,consultation;discussion
装置,そうち,souchi,equipment;installation;apparatus
相当,そうとう,soutou,suitable;fair;tolerable;proper
騒動,そうどう,soudou,strife;riot;rebellion
遭難,そうなん,sounan,disaster;shipwreck;accident
相場,そうば,souba,market price;speculation;estimation
装備,そうび,soubi,equipment
送別,そうべつ,soubetsu,farewell;send-off
総理大臣,そうりだいじん,souridaijin,Prime Minister
創立,そうりつ,souritsu,establishment;founding;organization
送料,そうりょう,souryou,postage;carriage
添える,そえる,soeru,to add to;to attach;to append;to accompany;to garnish;to imitate;to annex
即座に,そくざに,sokuzani,immediately;right away
促進,そくしん,sokushin,promotion;acceleration;encouragement;facilitation;spurring on
即する,そくする,sokusuru,to conform to;to agree with;to be adapted to;to be based on
速達,そくたつ,sokutatsu,express;special delivery
測定,そくてい,sokutei,measurement
速度,そくど,sokudo,speed;velocity;rate
束縛,そくばく,sokubaku,restraint;shackles;restriction;confinement;binding
側面,そくめん,sokumen,side;flank;sidelight;lateral
測量,そくりょう,sokuryou,measurement;surveying
速力,そくりょく,sokuryoku,speed
其処,そこ,soko,that place;there
底,そこ,soko,bottom;sole
其処で,そこで,sokode,so (conj);accordingly;now;then;thereupon
損なう,そこなう,sokonau,to harm;to hurt;to injure;to damage;to fail in doing
其処ら,そこら,sokora,everywhere;somewhere;approximately;that area;around there
素材,そざい,sozai,raw materials;subject matter
阻止,そし,soshi,obstruction;check;hindrance;prevention;interdiction
組織,そしき,soshiki,organization;system;construction
素質,そしつ,soshitsu,character;qualities;genius
然して,そして,soshite,and
訴訟,そしょう,soshou,litigation;lawsuit
祖先,そせん,sosen,ancestor
注ぐ,そそぐ,sosogu,to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)
注ぐ,そそぐ,sosogu,to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)
,そそっかしい,sosokkashii,careless;thoughtless
育ち,そだち,sodachi,breeding;growth
育つ,そだつ,sodatsu,to raise (child);to be brought up;to grow (up)
育てる,そだてる,sodateru,to be brought up;to raise;to rear;to bring up
措置,そち,sochi,measure;step
其方,そちら,sochira,over there;the other
,そっくり,sokkuri,all;altogether;entirely;be just like;the splitting image of
素っ気ない,そっけない,sokkenai,cold;short;curt;blunt
率直,そっちょく,sochoku,frankness;candour;openheartedness
,そっと,soto,softly;secretly
外方,そっぽ,sopo,look (or turn) the other way
卒業,そつぎょう,sotsugyou,graduation
袖,そで,sode,sleeve
外,そと,soto,outside
外,そと,soto,outside
外,そと,soto,outside
外,そと,soto,outside
備え付ける,そなえつける,sonaetsukeru,to provide;to furnish;to equip;to install
備える,そなえる,sonaeru,to furnish;to provide for;to equip;to install;to have ready;to prepare for;to possess;to have;to be endowed with;to be armed with
備わる,そなわる,sonawaru,to be furnished with;to be endowed with;to possess;to be among;to be one of;to be possessed of
園,その,sono,garden;park;plantation
その上,そのうえ,sonoue,in addition;furthermore
その内,そのうち,sonouchi,eventually;sooner or later;of the previously mentioned
その為,そのため,sonotame,hence;for that reason
その外,そのほか,sonohoka,besides;in addition;the rest
其の儘,そのまま,sonomama,without change;as it is (i.e. now)
蕎麦,そば,soba,soba (buckwheat noodles)
聳える,そびえる,sobieru,to rise;to tower;to soar
祖父,そふ,sofu,grandfather
祖母,そぼ,sobo,grandmother
素朴,そぼく,soboku,simplicity;artlessness;naivete
素朴,そぼく,soboku,simplicity;artlessness;naivete
粗末,そまつ,somatsu,crude;rough;plain;humble
染まる,そまる,somaru,to dye
背く,そむく,somuku,to run counter to;to go against;to disobey;to infringe
染める,そめる,someru,to dye;to colour
逸らす,そらす,sorasu,to turn away;to avert
反り,そり,sori,warp;curvature;curve;arch
其れ,それ,sore,it;that
其れから,それから,sorekara,and then;after that
各々,それぞれ,sorezore,each;every;either;respectively;severally
其れで,それで,sorede,and (conj);thereupon;because of that
其れでは,それでは,soredeha,in that situation;well then ...
其れでも,それでも,soredemo,but (still);and yet;nevertheless;even so;notwithstanding
其れ共,それとも,soretomo,or;or else
其れなら,それなら,sorenara,If that's the case...;If so...;That being the case...
其れに,それに,soreni,besides;moreover
其れ程,それほど,sorehodo,to that degree;extent
其れ故,それゆえ,soreyue,therefore;for that reason;so
逸れる,それる,soreru,to stray (turn) from subject;to get lost;to go astray
揃い,そろい,soroi,set;suit;uniform
揃う,そろう,sorou,to become complete;to be equal;to be all present;to gather
揃える,そろえる,soroeru,to put things in order;to arrange;to make uniform;to get something ready
徐々,そろそろ,sorosoro,gradually;steadily;quietly;slowly;soon
算盤,そろばん,soroban,abacus
損害,そんがい,songai,damage;injury;loss
尊敬,そんけい,sonkei,respect;esteem;reverence;honour
存在,そんざい,sonzai,existence;being
損失,そんしつ,sonshitsu,loss
存続,そんぞく,sonzoku,duration;continuance
存続,そんぞく,sonzoku,duration;continuance
尊重,そんちょう,sonchou,respect;esteem;regard
損得,そんとく,sontoku,loss and gain;advantage and disadvantage
,そんな,sonna,such;like that;that sort of
沿い,ぞい,zoi,along
像,ぞう,zou,statue;image;figure;picture;portrait
増加,ぞうか,zouka,increase;addition
増強,ぞうきょう,zoukyou,augment;reinforce;increase
雑巾,ぞうきん,zoukin,house-cloth;dust cloth
増減,ぞうげん,zougen,increase and decrease;fluctuation
蔵相,ぞうしょう,zoushou,Minister of Finance
増進,ぞうしん,zoushin,promoting;increase;advance
造船,ぞうせん,zousen,shipbuilding
増大,ぞうだい,zoudai,enlargement
草履,ぞうり,zouri,zoori (Japanese footwear);sandals
属する,ぞくする,zokusuru,to belong to;to come under;to be affiliated with;to be subject to
続々,ぞくぞく,zokuzoku,successively;one after another
,ぞんざい,zonzai,rude;careless;slovenly
存じる,ぞんじる,zonjiru,to know
田,た,ta,rice field
他意,たい,tai,ill will;malice;another intention;secret purpose;ulterior motive;fickleness;double-mindedness
対,たい,tai,ratio;versus;against;opposition
対,たい,tai,ratio;versus;against;opposition
体育,たいいく,taiiku,physical education;gymnastics;athletics
退院,たいいん,taiin,leaving hospital
対応,たいおう,taiou,interaction;correspondence;coping with;dealing with
体温,たいおん,taion,temperature (body)
退化,たいか,taika,degeneration;retrogression
大会,たいかい,taikai,convention;tournament;mass meeting;rally
体格,たいかく,taikaku,physique;constitution
大概,たいがい,taigai,in general;mainly
退学,たいがく,taigaku,dropping out of school
大気,たいき,taiki,atmosphere
大金,たいきん,taikin,great cost
退屈,たいくつ,taikutsu,tedium;boredom
待遇,たいぐう,taiguu,treatment;reception
体系,たいけい,taikei,system;organization
対決,たいけつ,taiketsu,confrontation;showdown
体験,たいけん,taiken,personal experience
太鼓,たいこ,taiko,drum;tambourine
対抗,たいこう,taikou,opposition;antagonism
対策,たいさく,taisaku,counter-plan;counter-measure
滞在,たいざい,taizai,stay;sojourn
大使,たいし,taishi,ambassador
大した,たいした,taishita,considerable;great;important;significant;a big deal
対して,たいして,taishite,for;in regard to;per
大衆,たいしゅう,taishuu,general public
対処,たいしょ,taisho,deal with;cope
対象,たいしょう,taishou,target;object (of worship  study  etc);subject (of taxation  etc)
対照,たいしょう,taishou,contrast;antithesis;comparison
退職,たいしょく,taishoku,retirement (from office)
退治,たいじ,taiji,extermination
体重,たいじゅう,taijyuu,one's body weight
対する,たいする,taisuru,to face;to confront;to oppose
態勢,たいせい,taisei,attitude;conditions;preparations
体制,たいせい,taisei,order;system;structure;set-up;organization
体積,たいせき,taiseki,capacity;volume
大切,たいせつ,taisetsu,important
大戦,たいせん,taisen,great war;great battle
体操,たいそう,taisou,gymnastics;physical exercises;calisthenics
体操,たいそう,taisou,gymnastics;physical exercises;calisthenics
対談,たいだん,taidan,talk;dialogue;conversation
大抵,たいてい,taitei,usually;generally
対等,たいとう,taitou,equivalent
態度,たいど,taido,attitude;manner
滞納,たいのう,tainou,non-payment;default
大半,たいはん,taihan,majority;mostly;generally
対比,たいひ,taihi,contrast;comparison
台風,たいふう,taifuu,typhoon
大部,たいぶ,taibu,most (e.g. most part);greater;fairly;a good deal;much
対辺,たいへん,taihen,(geometrical) opposite side
逮捕,たいほ,taiho,arrest;apprehension;capture
待望,たいぼう,taibou,expectant waiting
大木,たいぼく,taiboku,large tree
怠慢,たいまん,taiman,negligence;procrastination;carelessness
対面,たいめん,taimen,interview;meeting
太陽,たいよう,taiyou,sun;solar
平ら,たいら,taira,flatness;level;smooth;calm;plain;sitting tailor fashion
大陸,たいりく,tairiku,continent
対立,たいりつ,tairitsu,confrontation;opposition;antagonism
体力,たいりょく,tairyoku,physical strength
対話,たいわ,taiwa,interactive;interaction;conversation;dialogue
田植え,たうえ,taue,rice planting
絶えず,たえず,taezu,constantly
耐える,たえる,taeru,to bear;to endure
絶える,たえる,taeru,to die out;to peter out;to become extinct
堪える,たえる,taeru,to bear;to stand;to endure;to put up with;to support;to withstand;to resist;to brave;to be fit for;to be equal to
倒す,たおす,taosu,to throw down;to beat;to bring down;to blow down;to fell;to knock down;to trip up;to defeat;to ruin;to overthrow;to kill;to leave unpaid;to cheat
倒れる,たおれる,taoreru,to collapse;to break down;to go bankrupt;to fall;to drop;to die;to succumb to;to fall senseless;to be ruined;to have a bad debt
高,たか,taka,quantity;amount;volume;number;amount of money
高い,たかい,takai,tall;high;expensive
高まる,たかまる,takamaru,to rise;to swell;to be promoted
高める,たかめる,takameru,to raise;to lift;to boost
宝,たから,takara,treasure
互い,たがい,tagai,mutual;reciprocal
耕す,たがやす,tagayasu,to till;to plow;to cultivate
滝,たき,taki,waterfall
焚火,たきび,takibi,(open) fire
宅,たく,taku,house;home;husband
炊く,たく,taku,to boil;to cook
沢山,たくさん,takusan,many;a lot;much
逞しい,たくましい,takumashii,burly;strong;sturdy
巧み,たくみ,takumi,skill;cleverness
蓄える,たくわえる,takuwaeru,to store;to lay in stock
類,たぐい,tagui,a kind
丈,たけ,take,height;stature;length;measure;all (one has)
竹,たけ,take,bamboo;middle (of a three-tier ranking system)
確,たしか,tashika,certain;sure;definite;if I'm not mistaken;if I remember correctly
確か,たしか,tashika,certain;sure;definite;if I'm not mistaken;if I remember correctly
確かめる,たしかめる,tashikameru,to ascertain
足し算,たしざん,tashizan,addition
多少,たしょう,tashou,more or less;somewhat;a little;some
足す,たす,tasu,to add (numbers);to do (e.g. one's business)
多数決,たすうけつ,tasuuketsu,majority rule
助かる,たすかる,tasukaru,to be saved;to be rescued;to survive;to be helpful
助け,たすけ,tasuke,assistance
助ける,たすける,tasukeru,to help;to save;to rescue;to give relief to;to spare (life);to reinforce;to promote;to abet
携わる,たずさわる,tazusawaru,to participate;to take part
訪ねる,たずねる,tazuneru,to visit
尋ねる,たずねる,tazuneru,to ask;to enquire
戦い,たたかい,tatakai,battle;fight;struggle;conflict
戦う,たたかう,tatakau,to fight;to battle;to combat;to struggle against;to wage war;to engage in contest
叩く,たたく,tataku,to strike;to clap;to dust;to beat
叩く,たたく,tataku,to strike;to clap;to dust;to beat
畳む,たたむ,tatamu,to fold (clothes)
只,ただ,tada,free;only
只,ただ,tada,free;only
唯,ただ,tada,free of charge;mere;sole;usual;common
ただ今,ただいま,tadaima,Here I am;I'm home!;presently;right away;right now;just now
但し,ただし,tadashi,but;however;provided that
正しい,ただしい,tadashii,right;just;correct;righteous;honest;truthful;proper;straightforward;perfect
直ちに,ただちに,tadachini,at once;immediately;directly;in person
漂う,ただよう,tadayou,to drift about;to float;to hang in air
館,たち,tachi,1.  mansion;small castle
立ち上がる,たちあがる,tachiagaru,to stand up
立方,たちかた,tachikata,dancing (geisha)
立ち去る,たちさる,tachisaru,to leave;to depart;to take one's leave
立ち止まる,たちどまる,tachidomaru,to stop;to halt;to stand still
立場,たちば,tachiba,standpoint;position;situation
忽ち,たちまち,tachimachi,at once;in a moment;suddenly;all at once
立ち寄る,たちよる,tachiyoru,to stop by;to drop in for a short visit
達者,たっしゃ,tasha,skillful;in good health
達する,たっする,tassuru,to reach;to get to
達成,たっせい,tassei,achievement
,たった,tata,only;merely;but;no more than
尊い,たっとい,tattoi,precious;valuable;priceless;noble;exalted;sacred
貴い,たっとい,tattoi,precious;valuable;priceless;noble;exalted;sacred
尊ぶ,たっとぶ,tattobu,to value;to prize;to esteem
,たっぷり,tappuri,full;in plenty;ample
絶つ,たつ,tatsu,to sever;to cut off;to suppress;to abstain (from)
立つ,たつ,tatsu,to stand;to erect;to be erected;to rise;to be built
建つ,たつ,tatsu,to stand;to erect;to be erected;to rise;to be built
発つ,たつ,tatsu,to depart (on a plane  train  etc.)
経つ,たつ,tatsu,to pass;to lapse
盾,たて,tate,shield;buckler;escutcheon;pretext
縦,たて,tate,length;height
立て替える,たてかえる,tatekaeru,to pay in advance;to pay for another;to pay someone else's debt as a loan to him
建前,たてまえ,tatemae,face;official stance;public position or attitude (as opposed to private thoughts)
奉る,たてまつる,tatematsuru,to offer;to present;to revere;to do respectfully
建物,たてもの,tatemono,building
立てる,たてる,tateru,to stand (something) up;to erect (something)
建てる,たてる,tateru,to build;to construct
例え,たとえ,tatoe,example;even if;if;though;although
仮令,たとえ,tatoe,example;even if;if;though;although
例えば,たとえば,tatoeba,for example;e.g.
例える,たとえる,tatoeru,to compare;to liken;to speak figuratively;to illustrate;to use a simile
他動詞,たどうし,tadoushi,transitive verb (direct obj)
辿り着く,たどりつく,tadoritsuku,to grope along to;to struggle on to;to arrive somewhere after a struggle
辿る,たどる,tadoru,to follow (road);to pursue (course);to follow up
棚,たな,tana,shelves;rack
掌,たなごころ,tanagokoro,the palm
谷,たに,tani,valley
楽しい,たのしい,tanoshii,enjoyable;fun
楽しみ,たのしみ,tanoshimi,enjoyment;pleasure
楽しむ,たのしむ,tanoshimu,to enjoy oneself
頼み,たのみ,tanomi,request;favor;reliance;dependence
頼む,たのむ,tanomu,to request;to beg;to ask
頼もしい,たのもしい,tanomoshii,reliable;trustworthy;hopeful;promising
束,たば,taba,bundle;bunch;sheaf;coil
煙草,たばこ,tabako,(pt:) (n) (uk) tobacco (pt: tabaco);cigarettes
束ねる,たばねる,tabaneru,to tie up in a bundle;to govern;to manage;to control;to fold (one's arms);to administer
足袋,たび,tabi,tabi;Japanese socks (with split toe)
度,たび,tabi,times (three times  etc.);degree
旅,たび,tabi,travel;trip;journey
度,たび,tabi,times (three times  etc.);degree
度々,たびたび,tabitabi,often;repeatedly;frequently
多分,たぶん,tabun,perhaps;probably
食べる,たべる,taberu,to eat
他方,たほう,tahou,another side;different direction;(on) the other hand
多忙,たぼう,tabou,busy;pressure of work
弾,たま,tama,bullet;shot;shell
球,たま,tama,globe;sphere;ball
給う,たまう,tamau,to receive;to grant
卵,たまご,tamago,1.  egg(s);spawn;roe; 2.  (an expert) in the making
偶々,たまたま,tamatama,casually;unexpectedly;accidentally;by chance
偶に,たまに,tamani,occasionally;once in a while
堪らない,たまらない,tamaranai,intolerable;unbearable;unendurable
溜まり,たまり,tamari,collected things;gathering place;arrears
溜まる,たまる,tamaru,to collect;to gather;to save
溜まる,たまる,tamaru,to collect;to gather;to save
賜る,たまわる,tamawaru,to grant;to bestow
為,ため,tame,good;advantage;benefit;welfare;sake;to;in order to;because of;as a result of
溜息,ためいき,tameiki,a sigh
試し,ためし,tameshi,trial;test
例,ためし,tameshi,instance;example;case;precedent;experience;custom;usage;parallel;illustration
試す,ためす,tamesu,to attempt;to test
躊躇う,ためらう,tamerau,to hesitate
保つ,たもつ,tamotsu,to keep;to preserve;to hold;to retain;to maintain;to support;to sustain;to last;to endure;to keep well (food);to wear well;to be durable
容易い,たやすい,tayasui,easy;simple;light
多様,たよう,tayou,diversity;variety
便り,たより,tayori,news;tidings;information;correspondence;letter
頼る,たよる,tayoru,to rely on;to have recourse to;to depend on
足りる,たりる,tariru,to be sufficient;to be enough
足る,たる,taru,to be sufficient;to be enough
弛み,たるみ,tarumi,slack;slackening;dullness;letdown
弛む,たるむ,tarumu,to slacken;to loosen;to relax
誰,たれ,tare,adjectival suffix for a person
垂れる,たれる,tareru,to hang;to droop;to drop;to lower;to pull down;to dangle;to sag;to drip;to ooze;to trickle;to leave behind (at death);to give;to confer
歎,たん,tan,grief;sigh;lamentation
反,たん,tan,roll of cloth (c. 10 yds.);.245 acres;300 tsubo
単位,たんい,tani,unit;denomination;credit (in school)
単一,たんいつ,tanitsu,single;simple;sole;individual;unitory
短歌,たんか,tanka,tanka;31-syllable Japanese poem
担架,たんか,tanka,stretcher;litter
短気,たんき,tanki,quick temper
短期,たんき,tanki,short term
探検,たんけん,tanken,exploration;expedition
炭鉱,たんこう,tankou,coal mine;coal pit
単語,たんご,tango,word;vocabulary;single-character word
短縮,たんしゅく,tanshuku,shortening;abbreviation;reduction
短所,たんしょ,tansho,defect;demerit;weak point
単純,たんじゅん,tanjyun,simplicity
誕生,たんじょう,tanjyou,birth
箪笥,たんす,tansu,chest of drawers
淡水,たんすい,tansui,fresh water
単数,たんすう,tansuu,singular (number)
炭素,たんそ,tanso,carbon (C)
短大,たんだい,tandai,junior college
単調,たんちょう,tanchou,monotony;monotone;dullness
担当,たんとう,tantou,(in) charge
単独,たんどく,tandoku,sole;independence;single;solo (flight)
単なる,たんなる,tannaru,mere;simple;sheer
単に,たんに,tanni,simply;merely;only;solely
短波,たんぱ,tanpa,short wave
蛋白質,たんぱくしつ,tanpakushitsu,protein
短編,たんぺん,tanpen,short (e.g. story  film)
台,だい,dai,stand;rack;table;support
台,だい,dai,stand;rack;table;support
題,だい,dai,title;subject;theme;topic
第,だい,dai,ordinal
第一,だいいち,daiichi,first;foremost;# 1
大学,だいがく,daigaku,university
大学院,だいがくいん,daigakuin,graduate school
代金,だいきん,daikin,price;payment;cost;charge;the money;the bill
大工,だいく,daiku,carpenter
大小,だいしょう,daishou,size
大丈夫,だいじょうぶ,daijyoubu,safe;all right;O.K.
大臣,だいじん,daijin,cabinet minister
大体,だいたい,daitai,general;substantially;outline;main point
大胆,だいたん,daitan,bold;daring;audacious
大統領,だいとうりょう,daitouryou,president;chief executive
台所,だいどころ,daidokoro,kitchen
台無し,だいなし,dainashi,mess;spoiled;(come to) nothing
代表,だいひょう,daihyou,representative;representation;delegation;type;example;model
大分,だいぶ,daibu,considerably;greatly;a lot
大部分,だいぶぶん,daibubun,most part;greater part;majority
大便,だいべん,daiben,feces;excrement;shit
代弁,だいべん,daiben,pay by proxy;act for another;speak for another
台本,だいほん,daihon,libretto;scenario
題名,だいめい,daimei,title
代名詞,だいめいし,daimeishi,pronoun
代用,だいよう,daiyou,substitution
代理,だいり,dairi,representation;agency;proxy;deputy;agent;attorney;substitute;alternate;acting (principal  etc.)
楕円,だえん,daen,ellipse
打開,だかい,dakai,break in the deadlock
,だから,dakara,so;therefore
妥協,だきょう,dakyou,compromise;giving in
丈,だけ,dake,only;just;as
妥結,だけつ,daketsu,agreement
,だけど,dakedo,however
打撃,だげき,dageki,1.  blow;shock;strike;damage; 2.  batting (baseball)
駄作,ださく,dasaku,poor work;rubbish
出す,だす,dasu,to put out;to send
出す,だす,dasu,to put out;to send
抱っこ,だっこ,dako,(child's) hug
脱出,だっしゅつ,dashutsu,escape
脱する,だっする,dassuru,to escape from;to get out
脱線,だっせん,dassen,derailment;digression
脱退,だったい,dattai,secession
,だったら,dattara,if it's the case
,だって,date,but;because;even;also;too
妥当,だとう,datou,valid;proper;right;appropriate
,だぶだぶ,dabudabu,loose;baggy
騙す,だます,damasu,to trick;to cheat;to deceive
黙る,だまる,damaru,to be silent
駄目,だめ,dame,useless;no good;hopeless
,だらけ,darake,implying (negatively) that something is full of  e.g. mistakes
,だらしない,darashinai,slovenly;loose;a slut
怠い,だるい,darui,sluggish;feel heavy;languid;dull
誰か,だれか,dareka,someone;somebody
段,だん,dan,step;stair;flight of steps;grade;rank;level
壇,だん,dan,1.  platform;podium;rostrum; 2.  (arch) mandala
段階,だんかい,dankai,gradation;grad;stage
団結,だんけつ,danketsu,unity;union;combination
断言,だんげん,dangen,declaration;affirmation
男子,だんし,danshi,youth;young man
断水,だんすい,dansui,water outage
男性,だんせい,dansei,male;man
断然,だんぜん,danzen,firmly;absolutely;definitely
団体,だんたい,dantai,organization;association
段々,だんだん,dandan,gradually;by degrees
団地,だんち,danchi,multi-unit apartments
断定,だんてい,dantei,conclusion;decision
旦那,だんな,danna,master (of house);husband (informal)
暖房,だんぼう,danbou,heating
断面,だんめん,danmen,cross section
弾力,だんりょく,danryoku,elasticity;flexibility
血,ち,chi,blood;consanguinity
地,ち,chi,earth
治安,ちあん,chian,public order
地位,ちい,chii,(social) position;status
地域,ちいき,chiiki,area;region
小さい,ちいさい,chiisai,small;little;tiny
知恵,ちえ,chie,wisdom;wit;sagacity;sense;intelligence;advice
地下,ちか,chika,basement;underground
近い,ちかい,chikai,near;close by;short
誓う,ちかう,chikau,to swear;to vow;to take an oath;to pledge
近く,ちかく,chikaku,near;neighbourhood;vicinity
近頃,ちかごろ,chikagoro,lately;recently;nowadays
地下水,ちかすい,chikasui,underground water
近付く,ちかづく,chikaduku,to approach;to get near;to get acquainted with;to get closer
近付ける,ちかづける,chikadukeru,to bring near;to put close;to let come near;to associate with
地下鉄,ちかてつ,chikatetsu,underground train;subway
近寄る,ちかよる,chikayoru,to approach;to draw near
力,ちから,chikara,force;strength;energy;might;power;agency;authority;influence;vigor;stress;emphasis;exertions;endeavors;efficacy;help;support;good offices;ability;faculty;capability;attainment;means;resources
力,ちから,chikara,force;strength;energy;might;power;agency;authority;influence;vigor;stress;emphasis;exertions;endeavors;efficacy;help;support;good offices;ability;faculty;capability;attainment;means;resources
力強い,ちからづよい,chikaraduyoi,reassuring;emboldened
違い,ちがい,chigai,difference;discrepancy
違いない,ちがいない,chigainai,(phrase) sure;no mistaking it;for certain
違う,ちがう,chigau,to differ (from)
違える,ちがえる,chigaeru,to change
地球,ちきゅう,chikyuu,the earth
契る,ちぎる,chigiru,to pledge;to promise;to swear
地区,ちく,chiku,district;section;sector
畜産,ちくさん,chikusan,animal husbandry
畜生,ちくしょう,chikushou,beast;brute;damn
蓄積,ちくせき,chikuseki,accumulation;accumulate;store
遅刻,ちこく,chikoku,lateness;late coming
知識,ちしき,chishiki,knowledge;information
地質,ちしつ,chishitsu,geological features
知事,ちじ,chiji,prefectural governor
知人,ちじん,chijin,friend;acquaintance
地図,ちず,chizu,map
知性,ちせい,chisei,intelligence
地帯,ちたい,chitai,area;zone
乳,ちち,chichi,milk;breast;loop
父,ちち,chichi,father
父親,ちちおや,chichioya,father
父母,ちちはは,chichihaha,father and mother;parents
縮まる,ちぢまる,chidimaru,to be shortened;to be contracted;to shrink
縮む,ちぢむ,chidimu,to shrink;to be contracted
縮める,ちぢめる,chidimeru,to shorten;to reduce;to boil down;to shrink
縮れる,ちぢれる,chidireru,to be wavy;to be curled
窒息,ちっそく,chissoku,suffocation
些とも,ちっとも,chittomo,not at all (neg. verb)
秩序,ちつじょ,chitsujyo,order;regularity;system;method
知的,ちてき,chiteki,intellectual
地点,ちてん,chiten,site;point on a map
知能,ちのう,chinou,brain
地平線,ちへいせん,chiheisen,horizon
地名,ちめい,chimei,place name
茶,ちゃ,cha,tea
茶色,ちゃいろ,chairo,light brown;tawny
著,ちゃく,chaku,counter for suits of clothing;arriving at ..
着,ちゃく,chaku,counter for suits of clothing;arriving at ..
着,ちゃく,chaku,counter for suits of clothing;arriving at ..
着手,ちゃくしゅ,chakushu,embarkation;launch
着色,ちゃくしょく,chakushoku,colouring;coloring
着席,ちゃくせき,chakuseki,sit down;seat
着々,ちゃくちゃく,chakuchaku,steadily
着目,ちゃくもく,chakumoku,attention
着陸,ちゃくりく,chakuriku,landing;alighting;touch down
着工,ちゃっこう,chakkou,start of (construction) work
茶の間,ちゃのま,chanoma,living room (Japanese style)
